T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,"Sub-Saharan Africa",2010,"Gross enrollement ratio - Primary (male)",100.8477,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2010,"Gross enrollment ratio - Primary (female)",93.3196,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2010,"Students enrolled in secondary education (thousands)",44918.9457,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2010,"Gross enrollment ratio - Secondary (male)",43.2236,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2010,"Gross enrollment ratio - Secondary (female)",35.4168,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2010,"Students enrolled in tertiary education (thousands)",5863.2761,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2010,"Gross enrollment ratio - Tertiary (male)",8.9267,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2010,"Gross enrollment ratio - Tertiary (female)",6.002,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2014,"Students enrolled in primary education (thousands)",154890.6388,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2014,"Gross enrollement ratio - Primary (male)",101.9259,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
